file,line,basis,text
basis_census_mentions.csv,2,142250,"run_74_replication.log,102,142250,ℹ postBA_west.geno has 400 samples and 142250 SNPs"
basis_census_mentions.csv,3,123871,"run_74_replication.log,104,123871,! 123871 SNPs remain after filtering. 123000 are polymorphic."
basis_census_mentions.csv,3,123000,"run_74_replication.log,104,123871,! 123871 SNPs remain after filtering. 123000 are polymorphic."
basis_census_mentions.csv,4,123871,"run_74_replication.log,104,123000,! 123871 SNPs remain after filtering. 123000 are polymorphic."
basis_census_mentions.csv,4,123000,"run_74_replication.log,104,123000,! 123871 SNPs remain after filtering. 123000 are polymorphic."
basis_census_mentions.csv,5,123871,"run_74_replication.log,105,123871,ℹ Allele frequency matrix for 123871 SNPs and 12 populations is 21 MB"
basis_census_mentions.csv,6,1233013,"run_aeg_loo.log,106,1233013,ℹ loo_I5733.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,7,571419,"run_aeg_loo.log,108,571419,! 571419 SNPs remain after filtering. 524089 are polymorphic."
basis_census_mentions.csv,7,524089,"run_aeg_loo.log,108,571419,! 571419 SNPs remain after filtering. 524089 are polymorphic."
basis_census_mentions.csv,8,571419,"run_aeg_loo.log,108,524089,! 571419 SNPs remain after filtering. 524089 are polymorphic."
basis_census_mentions.csv,8,524089,"run_aeg_loo.log,108,524089,! 571419 SNPs remain after filtering. 524089 are polymorphic."
basis_census_mentions.csv,9,571419,"run_aeg_loo.log,109,571419,ℹ Allele frequency matrix for 571419 SNPs and 9 populations is 82 MB"
basis_census_mentions.csv,10,1233013,"run_aeg_loo.log,231,1233013,ℹ loo_I5735.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,11,696349,"run_aeg_loo.log,233,696349,! 696349 SNPs remain after filtering. 638680 are polymorphic."
basis_census_mentions.csv,11,638680,"run_aeg_loo.log,233,696349,! 696349 SNPs remain after filtering. 638680 are polymorphic."
basis_census_mentions.csv,12,696349,"run_aeg_loo.log,233,638680,! 696349 SNPs remain after filtering. 638680 are polymorphic."
basis_census_mentions.csv,12,638680,"run_aeg_loo.log,233,638680,! 696349 SNPs remain after filtering. 638680 are polymorphic."
basis_census_mentions.csv,13,696349,"run_aeg_loo.log,234,696349,ℹ Allele frequency matrix for 696349 SNPs and 9 populations is 100 MB"
basis_census_mentions.csv,14,1233013,"run_aeg_loo.log,356,1233013,ℹ loo_ulu117.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,15,611041,"run_aeg_loo.log,358,611041,! 611041 SNPs remain after filtering. 561372 are polymorphic."
basis_census_mentions.csv,15,561372,"run_aeg_loo.log,358,611041,! 611041 SNPs remain after filtering. 561372 are polymorphic."
basis_census_mentions.csv,16,611041,"run_aeg_loo.log,358,561372,! 611041 SNPs remain after filtering. 561372 are polymorphic."
basis_census_mentions.csv,16,561372,"run_aeg_loo.log,358,561372,! 611041 SNPs remain after filtering. 561372 are polymorphic."
basis_census_mentions.csv,17,611041,"run_aeg_loo.log,359,611041,ℹ Allele frequency matrix for 611041 SNPs and 9 populations is 88 MB"
basis_census_mentions.csv,18,1233013,"run_aeg_loo.log,490,1233013,ℹ solo_I5733.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,19,564922,"run_aeg_loo.log,492,564922,! 564922 SNPs remain after filtering. 519296 are polymorphic."
basis_census_mentions.csv,19,519296,"run_aeg_loo.log,492,564922,! 564922 SNPs remain after filtering. 519296 are polymorphic."
basis_census_mentions.csv,20,564922,"run_aeg_loo.log,492,519296,! 564922 SNPs remain after filtering. 519296 are polymorphic."
basis_census_mentions.csv,20,519296,"run_aeg_loo.log,492,519296,! 564922 SNPs remain after filtering. 519296 are polymorphic."
basis_census_mentions.csv,21,564922,"run_aeg_loo.log,493,564922,ℹ Allele frequency matrix for 564922 SNPs and 9 populations is 81 MB"
basis_census_mentions.csv,22,1233013,"run_aeg_loo.log,615,1233013,ℹ solo_I5735.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,23,386166,"run_aeg_loo.log,617,386166,! 386166 SNPs remain after filtering. 355549 are polymorphic."
basis_census_mentions.csv,23,355549,"run_aeg_loo.log,617,386166,! 386166 SNPs remain after filtering. 355549 are polymorphic."
basis_census_mentions.csv,24,386166,"run_aeg_loo.log,617,355549,! 386166 SNPs remain after filtering. 355549 are polymorphic."
basis_census_mentions.csv,24,355549,"run_aeg_loo.log,617,355549,! 386166 SNPs remain after filtering. 355549 are polymorphic."
basis_census_mentions.csv,25,386166,"run_aeg_loo.log,618,386166,ℹ Allele frequency matrix for 386166 SNPs and 9 populations is 56 MB"
basis_census_mentions.csv,26,1233013,"run_aeg_loo.log,740,1233013,ℹ solo_ulu117.geno has 221 samples and 1233013 SNPs"
basis_census_mentions.csv,27,307851,"run_aeg_loo.log,742,307851,! 307851 SNPs remain after filtering. 281089 are polymorphic."
basis_census_mentions.csv,27,281089,"run_aeg_loo.log,742,307851,! 307851 SNPs remain after filtering. 281089 are polymorphic."
basis_census_mentions.csv,28,307851,"run_aeg_loo.log,742,281089,! 307851 SNPs remain after filtering. 281089 are polymorphic."
basis_census_mentions.csv,28,281089,"run_aeg_loo.log,742,281089,! 307851 SNPs remain after filtering. 281089 are polymorphic."
basis_census_mentions.csv,29,307851,"run_aeg_loo.log,743,307851,ℹ Allele frequency matrix for 307851 SNPs and 9 populations is 44 MB"
basis_census_mentions.csv,30,142250,"run_aegean_vs_anatolian.log,102,142250,ℹ postBA_west.geno has 400 samples and 142250 SNPs"
basis_census_mentions.csv,31,123825,"run_aegean_vs_anatolian.log,104,123825,! 123825 SNPs remain after filtering. 123047 are polymorphic."
basis_census_mentions.csv,31,123047,"run_aegean_vs_anatolian.log,104,123825,! 123825 SNPs remain after filtering. 123047 are polymorphic."
basis_census_mentions.csv,32,123825,"run_aegean_vs_anatolian.log,104,123047,! 123825 SNPs remain after filtering. 123047 are polymorphic."
